name,location,length,gain,highpoint,rating,description
Mount Misery,Eastern Washington -- Palouse and Blue Mountains,"16.0 miles, roundtrip",1000,6401.0,2.75,"Despite the name, Mount Misery trail offers a delightful hike to the Oregon Butte Lookout, situated on a hilltop in the remote Blue Mountains."
Clara and Marion Lakes,Central Washington -- Wenatchee,"3.2 miles, roundtrip",900,5475.0,3.93,"Some days are perfect for quiet contemplation, and an easygoing trail. Chirping birds, fragrant Ponderosa pines, and soft duff underfoot make this a perfect short, casual hike. In snow, it's steady climb will make it a moderate challenge in winter when showshoeing is in season."
Hope and Mig Lakes,Central Cascades -- Stevens Pass - West,"5.0 miles, roundtrip",1550,4650.0,2.86,"This hike has deep forest, pretty mountain lakes, fall color, and plenty of good trail to walk on without watching your feet all the time."
Meadow Mountain,North Cascades -- Mountain Loop Highway,"35.0 miles, roundtrip",3850,5850.0,2.00,"Take three or four days to explore this rugged trail near Glacier Peak. If you're feeling ambitious, make it a traverse either to or from White Chuck Bench."
Marten Creek,North Cascades -- Mountain Loop Highway,"6.6 miles, roundtrip",1400,2800.0,2.89,"Follow an old mining route through quiet forest near Darrington. This trail hasn't seen much maintenance in recent years, so it may require some route-finding experience to visit."
Martin Creek,North Cascades -- Methow/Sawtooth,"18.0 miles, roundtrip",2100,7260.0,3.25,"Imagine a freeway through the woods with offramps to points of interest, a few rest areas, and meadow viewpoint. With this in mind, you'll have a good understanding of the Martin Creek Trail. This trail is a connector route between popular lakes and part of the Sawtooth Lakes Loop (aka Golden Lakes Loop)."
Martin Lakes,North Cascades -- Methow/Sawtooth,"14.6 miles, roundtrip",2440,6840.0,3.00,"Enjoy the solitude at two small lakes set in a forested basin adjacent to the crest of well-named Sawtooth Ridge. Below the rocky crest and its scree slopes is a fringe of larch, golden in the fall. At the edge of this fringe and a few hundred feet above the lakes are two tarns, each in their own basin, accessible via cross-country travel."
Pear Lake via Meadow Creek,Central Cascades -- Stevens Pass - West,"16.5 miles, roundtrip",3375,5225.0,3.83,A rambling trail that provides easy access from the Beckler River Road near Skykomish to the Pacific Crest Trail and Henry M. Jackson Wilderness through the Meadow Creek Valley to sweet little Pear Lake for an overnight.
Meander Meadows,Central Cascades -- Stevens Pass - East,"12.5 miles, roundtrip",1980,4992.0,3.29,"Follow the Little Wenatchee River all the way to its headwaters high on the Cascade crest. From mile-high, miles-long alpine meadows, the river meanders. And so will you upon reaching these heavenly flower gardens. The hike in is a long approach and is warm at times across brushy avalanche slopes, but it is worth every ounce of sweat expended and every annoying fly swatted."
Lyons Ferry State Park - Marmes Pond,Central Washington -- Tri-Cities,"4.0 miles, roundtrip",150,750.0,2.80,"A former archaeological site, Marmes Pond is now a destination for fishermen and hikers looking for a short exploration of the Channeled Scablands."
Merritt Lake and Lost Lake,Central Cascades -- Stevens Pass - East,"5.5 miles, roundtrip",2100,5023.0,3.33,"Merritt Lake is nestled under Nason Ridge a dozen miles east of Stevens Pass. This is just far enough from the crest to leave west side clouds behind. This hike is an under-appreciated one in the Stevens Pass area, so you may be lucky enough to enjoy a relatively uncrowded hike."
Middle Tiger,Issaquah Alps -- Tiger Mountain,"9.0 miles, roundtrip",1127,2607.0,3.67,
Mazama Ridge Snowshoe,Mount Rainier Area -- SW - Longmire/Paradise,"6.0 miles, roundtrip",900,5700.0,4.29,Mazama Ridge at Mount Rainier's Paradise area offers an especially scenic intermediate-level snowshoe route in the midst of snow-covered alpine meadows.
Louis Lake,North Cascades -- Methow/Sawtooth,"9.8 miles, roundtrip",2240,5360.0,3.40,"Hike through a fire-devastated forest to an alpine lake set below steep cliffs with a waterfall inlet. Rennie Peak looms to the south and a mature forest shelters many campsites. Come for the day, or camp and explore."
Magnet Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"6.0 miles, roundtrip",2300,4400.0,2.80,"Hike this unmaintained trail on the dry side of the Cascades. It's a scenic, wildflower wonderland, if you're willing and able to route-find your way to the ridge."
Lower Big Quilcene River,Olympic Peninsula -- Hood Canal,"12.9 miles, roundtrip",1890,2943.0,3.64,"The Lower Big Quilcene Trail begins just outside the Buckhorn Wilderness and follows the lower Big Quilcene River along a mostly non-technical tread for approximately 6.5 miles. The moss-lined route starts on an old road bed through younger forest and then winds past large old-growth cedars. In spring and summer, blooming rhododendrons add vibrant color to your journey. This trail is also a great choice during the fall and winter months because the trees provide shelter from precipitation."
Lyman Lakes,Central Cascades -- Entiat Mountains/Lake Chelan,"21.0 miles, roundtrip",2774,5983.0,3.44,"A boat ride up Lake Chelan to a summer camp, then a long hike to beautiful remote lakes east of Glacier Peak."
Lower Dungeness River,Olympic Peninsula -- Hood Canal,"12.6 miles, roundtrip",1000,2500.0,3.75,The Lower Dungeness Trail travels through mostly conifer forests high above the river with a fair bit of elevation gain for a river hike.
Lake Julius and Loch Eileen,Central Cascades -- Stevens Pass - East,"15.9 miles, roundtrip",3815,5735.0,2.50,"You can hike to Loch Eileen two ways — via a trailhead off Highway 2, or from trails you can access if you reserve a spot at Alpine Lakes High Camp."
Manastash Ridge,Central Washington -- Yakima,"16.7 miles, one-way",4600,6245.0,3.62,"Traverse Manastash Ridge over rugged eastern slope terrain between Quartz Mountain and Blowout Mountain. The distance covered is nearly 17 miles, so be prepared to spend a full day hiking one segment or stay overnight to complete the journey, which has ample trail to delight mountain vista aficionados, larch lovers, berry munchers, flower photographers, and campers alike."
Lower Mad River Valley,Central Cascades -- Entiat Mountains/Lake Chelan,"14.9 miles, one-way",2500,2000.0,3.50,"Hike along the Lower Mad River in a narrow rocky canyon. The first three miles makes an ideal day trip for hikers of all abilities. Looking for more adventure? The trail continues for almost 15 miles where it meets the Upper Mad River trail. Be prepared to share the trail with bikes, horses, and motorcycles."
Little Wenatchee River,Central Cascades -- Stevens Pass - East,"3.0 miles, roundtrip",250,2500.0,3.12,"This trail travels along the valley floor of the Little Wenatchee River for several miles before switchbacking up 1500 feet through intermittent slide alder and mature forest to Meander Meadows. While the trail does receive occasional brushing, the lower section can be challenging."
Lost River,North Cascades -- Pasayten,"7.2 miles, roundtrip",350,2680.0,2.80,"This nice valley walk, serenaded by the sound of the Lost River, used to be the easy start of a difficult trail access into the central Pasayten Wilderness. The Eureka Creek bridge is now gone, making a good turn around point, while Lost River access at the wilderness boundary makes a good location for a long break."
Lakeview Ranch,Central Washington -- Potholes Region,"5.3 miles, roundtrip",450,1780.0,3.75,"Lakeview Ranch is a wild and expansive former ranch set among the Channeled Scablands of Eastern Washington. Now a part of the Bureau of Land Management, the recreation area offers a network of old farm roads that are perfect for exploring seasonal lakes, sagebrush flats, and coulees between basalt cliffs and mesas."
Libby Lake,North Cascades -- Methow/Sawtooth,"10.2 miles, roundtrip",3210,7640.0,3.38,"This strenuous hike passes through varied climate zones of the Sawtooth Range, ending at stark Libby Lake, tucked into a talus bowl with a larch-fringed outlet. Enjoy the view, soak your feet, catch some fish, or for those so inclined, backtrack to the cabin and scramble up Hoodoo Peak."
Little Giant Pass,Central Cascades -- Stevens Pass - East,"10.0 miles, roundtrip",4000,6409.0,4.09,"Little Giant Pass is home to one of the finest views in Washington State: the sight of the Napeequa River, winding its lazy way through the perfect U-shaped valley left by receding glaciers that cling wearily to the surrounding heights and feed the silver ribbon beneath your feet. It is a rare prize, this view, locked away at the end of a long, 4,000-foot climb that is itself guarded most of the year by an icy river crossing."
Lake Wenatchee State Park,Central Cascades -- Stevens Pass - East,4.0 miles of trails,75,1800.0,3.17,"A short detour off Highway 2 east of Stevens Pass will lead you a montane masterpiece tucked in the foothills of the Central Cascades. Gentle meandering hiking trails along the 489-acre state park offer scenic views of Nason Ridge, Dirty Face Mountain and the iconic Emerald Island."
Lanham Lake,Central Cascades -- Stevens Pass - East,"3.2 miles, roundtrip",1140,4140.0,2.83,"This short but steep little trail just east of the Stevens Pass ski area is an excellent little gem in winter or summer. Get a workout, visit a lake, and all in less than half a day, if you hike at a fast clip."
Little Jack Mountain,North Cascades -- North Cascades Highway - Hwy 20,"13.6 miles, roundtrip",3935,5896.0,3.33,This summit off of Highway 20 offers gorgeous views of the craggy North Cascades and a great workout.
Lenore Lake Caves,Central Washington -- Grand Coulee,"1.5 miles, roundtrip",200,1300.0,3.57,"Explore ancient caves and view a wide array of wildlife, all near a large lake in Washington's Coulee Country."
Lillian Ridge,Olympic Peninsula -- Northern Coast,"4.0 miles, roundtrip",200,6100.0,4.00,"Enjoy majestic mountain panoramas from this relatively low-effort, high-vista hike on the Olympic Peninsula."
Lakes Loop,Mount Rainier Area -- SW - Longmire/Paradise,"5.25 miles, roundtrip",1550,5800.0,3.86,Explore this loop that begins and ends at the popular Paradise Ranger Station on Mount Rainier. Hike a little more than five miles around and through a myriad of delightful lakes at the base of Washington's tallest volcano.
Lake Ethel,Central Cascades -- Stevens Pass - East,"9.5 miles, roundtrip",3500,5735.0,3.25,"Lake Ethel is a beautiful lake in the Chiwaukum Mountains of the Alpine Lakes Wilderness, just east of the Stevens Pass. Lake Ethel is one of the ‘Scottish Lakes’, which includes nearby Lake Donald, Loch Eileen and Lake Julius. The entire Scottish Lakes area is great for solitude. From Lake Ethel there are numerous options to extend your trip for backpacking or long day hikes."
Lake Elizabeth,Central Cascades -- Stevens Pass - West,"0.75 miles, roundtrip",69,2890.0,2.67,"This is a short, mostly level trail around a small tranquil lake that has the potential to be a great family hike. However, in its current condition it is best for adventurous adults and older kids."
Klahhane Ridge,Olympic Peninsula -- Northern Coast,"5.0 miles, roundtrip",1700,6050.0,4.50,Make a steep ascent through flowerfilled slopes to views of high mountain peaks and pillow lavas that originated on the bottom of the Pacific Ocean.
Lake Constance,Olympic Peninsula -- Hood Canal,"4.4 miles, roundtrip",3300,4800.0,3.83,The Lake Constance route is not a casual hike to a lake. It's a Class 2 and sometimes Class 3 scramble that requires continuous attention and careful hand work in areas where a mistake could prove fatal. People who have a fear of heights or are less than 100% confident in their climbing skills should avoid this route.
Kettle Crest North,Eastern Washington -- Okanogan Highlands/Kettle River Range,"29.0 miles, one-way",5200,7135.0,3.50,"With 12 named peaks along a route that starts and stays high, hikers can expect big views, no crowds and excellent stargazing."
Klonaqua Lakes,Central Cascades -- Leavenworth Area,"10.0 miles, one-way",2700,5200.0,3.00,A handful of high lakes nestled in a forested cirque below Granite Mountain deep within the Alpine Lakes Wilderness
Lake Stuart,Central Cascades -- Leavenworth Area,"9.0 miles, roundtrip",1665,5065.0,3.75,"The Core Zone of the Enchantments may be one of the most popular destinations in Washington state, but those who venture to Lake Stuart may just get the extra-enchanting reward of relative solitude in a high traffic area. Most hikers heading into the Enchantments use the Lake Stuart trailhead, but make for the Core zone via Colchuck Lake and Aasgard Pass. However, taking the right-hand trail 2.2 miles from the trailhead leads you into an adjacent valley, with a large, shallow lake at the base of the imposing massif of Mount Stuart."
Cape Alava Loop (Ozette Triangle),Olympic Peninsula -- Pacific Coast,"9.4 miles, roundtrip",100,350.0,4.20,"The Cape Alava Loop (Ozette Triangle) is two hikes in one: a forest stroll and a walk on the beach. Take the Cape Alava Trail out to the beach and back for a 6.2 mile hike, or continue south along the beach to connect up with the Sand Point Trail for a 9.4 mile loop."
Abercrombie Mountain Trail,Eastern Washington -- Selkirk Range,"7.3 miles, roundtrip",2350,7300.0,2.57,"From Eastern Washington’s second-highest peak, the former home to Eastern Washington’s second-highest lookout, take in hundreds of square miles of rolling forested terrain, from the Canadian Purcells to the Columbia Plateau."
Agnes Gorge,Central Cascades -- Entiat Mountains/Lake Chelan,"5.5 miles, roundtrip",300,2000.0,3.00,"This easy day hike is a great destination for families staying in the Stehekin Valley. Huckleberries line the slopes in the fall, and the 200-foot deep gorge you hike along provides thrills at any time of year. Plus, it's a relatively short hike in a valley of miles-long trails."
Abernathy Pass via Cedar Creek,North Cascades -- North Cascades Highway - Hwy 20,"18.0 miles, roundtrip",3400,6400.0,3.75,"A lengthy, pleasant hike through lodgepole pine and deciduous forest, past a lovely waterfall to Abernathy Pass."
Ruby Creek,North Cascades -- North Cascades Highway - Hwy 20,"6.4 miles, roundtrip",1230,1935.0,1.50,"Ruby Creek is a short, mellow river ramble that is often traveled as a part of the longer Devils Dome Loop."
Image Lake via Miners Ridge,North Cascades -- Mountain Loop Highway,"31.8 miles, roundtrip",4400,6000.0,4.25,"Hike along a Wild and Scenic river, up a rugged ridge, and to a mirror-like iconic lake in Glacier Peak wilderness. This is a long hike, best done as a backpack, but it's absolutely worth the days you invest to explore here."
North Fork Silver Creek Trail,Eastern Washington -- Selkirk Range,"7.7 miles, one-way",4078,7308.0,3.00,"The longer, more scenic approach to Abercrombie Mountain, North Fork Silver Creek Trail is worth the extra effort involved for a hike to eastern Washington's second highest summit."
Foggy Dew Creek,North Cascades -- Methow/Sawtooth,"14.0 miles, roundtrip",4620,8050.0,2.75,"A valley walk along Foggy Dew Creek with two large waterfalls, followed by a steep climb into beautiful Merchant's Basin, culminating in expansive views of the Sawtooth and Entiat ranges from the top of Angel's Staircase."
Rock Mountain via Rock Lake,Central Cascades -- Stevens Pass - East,"8.0 miles, roundtrip",4050,6852.0,3.00,"There may be an easier way to reach the summit of Rock Mountain but if you are looking to earn your ascent in a shorter amount of time, the Rock Lake trail approach offers you alpine meadows and stunning views of peaks within the Okanogan-Wenatchee National Forest via this lesser-traveled but steeper route right off Highway near Stevens Pass."
Sol Duc Falls,Olympic Peninsula -- Northern Coast,"1.6 miles, roundtrip",200,1951.0,4.00,Marvel at old-growth trees amid a lush rain forest landscape while visiting one of Olympic National Park’s most beloved attractions: Sol Duc Falls.
Columbia National Wildlife Refuge - Rimrock Lake,Central Washington -- Potholes Region,"3.0 miles, roundtrip",200,1060.0,3.50,"Formerly the Frog Lake Trail, this area is breathtakingly scenic, compensating for the fact that there is no actual lake en route. Frog Lake dried up years ago, leaving a seasonal marsh that occupies a small basin below the trail's ultimate destination; a broad mesa with a 360 degree view of the surrounding scablands of the Columbia National Wildlife Refuge."
Dosewallips State Park - Steam Donkey Trail,Olympic Peninsula -- Hood Canal,"3.5 miles, roundtrip",400,425.0,2.90,"The 3.5 mile Steam Donkey Loop Trail is an especially good choice in spring, with lots of creeklets, views of the Dosewallips River and silent forest. There is a strong chance that you will see wildlife in winter and spring. An elk herd resides in the area, and with the estuary so close, the area is rife with bird-life. As an added bonus for fall hikers, you can search for and pick chanterelle mushrooms."
Chain Lakes Trail,Central Cascades -- Stevens Pass - East,"4.2 miles, one-way",1900,5700.0,3.86,"Nestled in the backcountry, this trail makes for a great multiday tour of several lakes in the Alpine Lakes Wilderness."
Skyline Trail Loop,Mount Rainier Area -- SW - Longmire/Paradise,"5.5 miles, roundtrip",1450,6800.0,4.63,"The Skyline Trail is the main route for hiking out of Paradise, Mount Rainier’s south side hub and most popular destination, providing visitors a unique opportunity to experience the breathtaking beauty of Washington’s grandest mountain. Even before the historic Paradise Inn was constructed in 1916, the Paradise valley has long been one of the state’s most beloved hiking destinations because of its southern exposure, giving it a longer season than its north side counterpart, Sunrise. In peak season (July and August) your trip along the Skyline Trail will be filled with views of cascading waterfalls, mighty glaciers and subalpine meadows brimming with colorful splashes of lupines, mountain heather, scarlet paintbrush, cascade asters and bistort."
Excelsior Pass via Nooksack River,North Cascades -- Mount Baker Area,"7.8 miles, roundtrip",3600,5400.0,3.75,This trail is a staircase of switchbacks that march ever upward through thick forest to deliver hikers to an iconic ridge walk in the North Cascades.
Grand Park via Lake Eleanor,Mount Rainier Area -- NE - Sunrise/White River,"8.0 miles, roundtrip",1100,5630.0,4.51,"The classic approach (via Sunrise) to this sea of meadows and wildflowers at the base of Mount Rainier is long and tough, putting Grand Park out of reach for most casual dayhikers. Instead, try this ""backdoor"" approach via Lake Eleanor to enjoy this stunning destination."
Canyon Creek,North Cascades -- North Cascades Highway - Hwy 20,"7.0 miles, roundtrip",700,2600.0,3.17,"When looking for solitude or a quiet, cool creek to ramble along, look no further than Canyon Creek. This trail’s gentle tread and easy grade were cut long ago for horse-pack trains. Along this old supply route to the mines there are numerous babbling brooks, and other natural wonders to keep you entertained. Once this river trail could be followed all the way to Chancellor and then into the Pasayten Wilderness or towards Harts Pass. Alas, wash outs now close the trail five miles in at Mill Creek."
Goat Creek Loop,South Cascades -- Mount St. Helens,"20.2 miles, roundtrip",3200,5250.0,3.20,Escape the crowds on this two-day backpacking adventure into the less-traveled areas on the north side of Mount St. Helens.
Lake Angeles,Olympic Peninsula -- Northern Coast,"7.4 miles, roundtrip",2350,4196.0,3.43,Get up close and personal with an enchanting glacier-sculpted landscape at Olympic National Park’s Lake Angeles.
Smokey Bottom (West Lake Mills),Olympic Peninsula -- Northern Coast,"4.0 miles, roundtrip",500,800.0,3.75,"Formerly a trail that bordered Lake Mills, the Smokey Bottom trail winds through the second-growth forest along the now free-flowing Elwha River."
Kloshe Nanitch,Olympic Peninsula -- Northern Coast,"6.4 miles, roundtrip",2200,3160.0,3.50,"Hike to a former fire lookout site on the Olympic Peninsula. Fires are now patrolled by aircraft here, but the beautiful, rugged surroundings can still be reviewed by hikers from the lookout with a name that draws on a Chinook phrase that translates to ""take care""."
Kettle Crest South,Eastern Washington -- Okanogan Highlands/Kettle River Range,"5.0 miles, roundtrip",900,6500.0,3.60,"The Kettle Crest South begins at the White Mountain Trailhead and extends to Sherman Pass, passing by White Mountain, Barnaby Butte, Bald Mountain, Snow Peak, and Sherman Peak along the way."
Klapatche Park,Mount Rainier Area -- NW - Carbon River/Mowich,"21.4 miles, roundtrip",3300,6000.0,4.00,"The Wonderland Trail has been described as magical, hiking through a wispy-clouded August sky to the many glaciers, river valleys and high alpine meadows all while traveling through the through Rainier's backcountry. Klapatche Park will give you a chance to experience the Wonderland Trail with only 21 miles of hiking."
Kamiak Butte,Eastern Washington -- Palouse and Blue Mountains,"3.5 miles, roundtrip",900,3600.0,3.73,"Kamiak Butte rises out of the rolling Palouse farmland to an elevation of 3641 feet. Forming something of a forested island, it is some of the only hiking opportunities avialable in an area where agriculture is king. Hikers who venture to the summit are rewarded with a rolling patchwork of green and yellow fields in every direction, and bright blue skies overhead."
Josephine Lake,Central Cascades -- Stevens Pass - East,"10.4 miles, roundtrip",1800,5150.0,3.85,"Josephine is a beautiful lake 5.2 miles south of Stevens Pass on the Pacific Crest Trail. The trail winds thru the Stevens Pass Ski area, climbing for two miles to top of the hill, gaining 1000 feet along the way."
Kalaloch - Browns Point,Olympic Peninsula -- Pacific Coast,"4.0 miles, roundtrip",25,25.0,3.88,"Wild and mercurial, the Olympic Coast has a special appeal in the spring and fall. Grassy bluffs, cliffside caves and tidal pools are all to be found along this four-mile beach hike near the Kalaloch Campground. So shrug on your rain gear and enjoy the bird watching, sense of solitude and stunning seascapes."
Juniper Dunes Wilderness,Central Washington -- Tri-Cities,"15.0 miles, roundtrip",300,1050.0,3.00,"Witness the polar opposites of land use management in this unique BLM wilderness, accessed through a popular OHV area. Once within the wilderness fence, visitors are rewarded with wide-open hiking through varied terrain, including the largest remaining juniper groves in Washington."
Jackita Ridge,North Cascades -- North Cascades Highway - Hwy 20,"15.2 miles, roundtrip",3000,6800.0,2.60,"With views of Crater and Jack Mountains, the Jackita Ridge trail takes you up a challenging incline to the top of a ridge above the timberline. It features wildflowers and unobstructed views. Many hikers use it to connect to the Devil's Dome loop or to reach Crater Mountain."
Jefferson Ridge,Olympic Peninsula -- Hood Canal,"4.8 miles, roundtrip",1832,3832.0,3.50,"In an area known for rhododendrons and stunning mountain views, find a relatively easy hike to a high ridgeline that used to house a fire lookout tower."
Indian Creek,Central Cascades -- Stevens Pass - East,"11.0 miles, one-way",2700,5000.0,2.43,"Beautiful mixed forests surround you as saunter up Indian Creek towards the Pacific Crest Trail (PCT). Surrounded by peaks on all sides, this crucial connector to the PCT in the ultra-rugged Glacier Peak Wilderness requires keen navigation skills (and a strong sense of adventure) as years of overgrown brush make this trail difficult to follow."
Horse Heaven Hills,Central Washington -- Tri-Cities,"6.8 miles, roundtrip",1220,1924.0,3.67,Hike a shrub steppe slope to a high vantage point along the crest of the Horse Heaven Hills plateau. The trail is typically dry and windy so make sure to bring plenty of water. The best time to hike is in April or early May when the slope is green and wildflowers are blooming.
Home Lake,Olympic Peninsula -- Hood Canal,"19.4 miles, roundtrip",3000,5330.0,4.00,"Access to Home Lake is possible via several trailheads, but any way you slice it, you're in for a long trip."
Ingalls Creek,Central Cascades -- Blewett Pass,"14.4 miles, one-way",1450,3450.0,3.62,"This popular trail parallels a thunderous creek on a gentle grade, making for an excellent springtime river romp."
Ice Creek - Ice Lakes,Central Cascades -- Entiat Mountains/Lake Chelan,"28.0 miles, roundtrip",4200,6900.0,4.20,"A beautiful multi-day hike through ponderosa pines to a high altitude basin. Enjoy lakes, waterfalls, larches, and solitude with the possibility of a top out of 9,060 foot Mount Maude."
Huckleberry Mountain,North Cascades -- Mountain Loop Highway,"14.0 miles, roundtrip",4900,5900.0,2.70,"The trail up Huckleberry Mountain is a grind, but as with so many other hikes to high places on the Suiattle River Road, your efforts will be rewarded with spectacular views."
Horseshoe Bend,North Cascades -- Mount Baker Area,"2.4 miles, roundtrip",220,1200.0,3.50,Here's a Mount Baker Highway gem that's low enough to be passable all year and at the same time easy enough for the whole family. It's also a terrific spot to witness the power of water.
Horseshoe Basin (Stehekin),Central Cascades -- Entiat Mountains/Lake Chelan,"1.6 miles, one-way",1315,4950.0,3.40,"A spectacular, waterfall-filled cirque near Cascade Pass and Sahale Arm, Horseshoe Basin is just far enough away from both trailheads that access it to warrant making it an overnight trip. But you'll need to be sure to have your backpacking permits should you elect to hike here."
Icicle Gorge Nature Loop,Central Cascades -- Leavenworth Area,"4.2 miles, roundtrip",150,2800.0,4.12,"The Icicle Gorge Trail, one of the most popular trails in the Okanogan-Wenatchee National Forest, is a wonderful way to explore the natural beauty of the Icicle Creek Valley. The interpretive loop trail has a gentle grade and scenic views of Icicle Creek, Icicle Gorge, and the surrounding forest that are ideal for families, trail runners, beginner hikers, bird enthusiasts, and those looking to take a nice long walk on a well-defined path."
Indian Henry's Hunting Ground via Tahoma Creek,Mount Rainier Area -- SW - Longmire/Paradise,"12.0 miles, roundtrip",2520,5400.0,3.86,"You’ll not meet any hunters in Indian Henry’s Hunting Ground these days, but the area is named for one of the most prominent Native American guides in the area, who lived here before it became a national park. Accessible via Longmire or the West Side road, this destination promises abundant wildflowers and berries, and excellent up-close views of ""The Mountain."""
Happy Lake Ridge,Olympic Peninsula -- Northern Coast,"18.0 miles, roundtrip",4400,5280.0,2.75,Enjoy a mix of solitude and company along a ridgetop with two backcountry lakes and sweeping alpine views.
Jarrell Cove State Park - Harstine Island,Olympic Peninsula -- Kitsap Peninsula,"1.5 miles, roundtrip",200,175.0,3.50,"Accessible only by bridge or by boat, Jarrell Cove State Park administers several small recreation areas, including Harstine Island, McMicken Island, Stretch Point, Eagle Island and Hope Island. Harstine Island is a day-use property with beach access via a half-mile trail; the other areas area all only accessible by boat."
Happy Creek Nature Trail,North Cascades -- North Cascades Highway - Hwy 20,"2.6 miles, roundtrip",570,2780.0,3.83,"Hikers can choose from an easy loop partially along Happy Creek, or a longer hike to Happy Creek Falls, site of an old sawmill that supported the mining in the late 1800's."
Happy-Panther,North Cascades -- North Cascades Highway - Hwy 20,"12.5 miles, roundtrip",550,2000.0,2.67,"An old pack trail reincarnated, Happy-Panther is both one of the oldest and newest trails in the North Cascades National Park Complex."
Holden Lake,Central Cascades -- Entiat Mountains/Lake Chelan,"8.0 miles, roundtrip",1735,5300.0,4.00,"Holden Lake is set in a fantastic glacial basin, with stunning views of Bonanza, the highest non-volcanic peak in Washington State. It can be a hot, brushy bushwhack to the lake, but the views from lakeshore are worth it."
High Pass,Central Cascades -- Stevens Pass - East,"26.0 miles, roundtrip",4500,7100.0,2.83,
Heather Lake,North Cascades -- Mountain Loop Highway,"4.6 miles, roundtrip",1034,2430.0,3.97,"After you've explored a few trails with your little one, the Heather Lake trail makes a wonderful next step. It's the perfect place to take children on their first ‘real’ hike. The trail is short, but steep and challenging--it'll give a child a real sense of accomplishment once they reach the lake. The lake itself is a scenic little lake located on the northeastern slope of Mount Pilchuck."
Hog Canyon Lake,Eastern Washington -- Spokane Area/Coeur d'Alene,"5.3 miles, roundtrip",300,2200.0,3.67,"Hog Canyon Lake is an excellent hike in spring and fall, showcasing the unique geology and plant diversity of the area."
Heather Lake (near Lake Wenatchee),Central Cascades -- Stevens Pass - East,"7.0 miles, roundtrip",1350,3950.0,4.29,"Heather Lake is a moderate day hike to an attractive lake just below the Pacific Crest Trail (PCT), particularly good for families. There are huckleberries in season and a dive into the lake will refresh hikers in the warmth of August."
Hex Mountain Snowshoe,Snoqualmie Region -- Salmon La Sac/Teanaway,"7.0 miles, roundtrip",2600,5034.0,3.92,A steep but rewarding Cascades snowshoe with great views from the summit. Low avalanche risk makes this a popular winter destination.
High Pass,North Cascades -- Mount Baker Area,"3.6 miles, roundtrip",765,5965.0,2.83,Discover views similar to Winchester Mountain and hike this seldom-traveled trail with views of Mount Larabee and increased chances of encountering wildlife.
Goose Lake Plateau,Central Washington -- Potholes Region,"7.0 miles, roundtrip",200,1000.0,3.50,"This wide-open grassland offers roaming, but route-finding is necessary to enjoy your time on trail here."
Hansville Greenway,Olympic Peninsula -- Kitsap Peninsula,"2.6 miles, roundtrip",100,180.0,3.75,"Providing a cool forest walk even on warm summer day, Hansville Greenway is an extensive network of trails encompassing the community of Hansville on the Kitsap peninsula."
Hall Mountain,Eastern Washington -- Selkirk Range,"14.0 miles, roundtrip",4130,6323.0,3.38,"Climb, climb, climb through several stages of eastern forest to open wildflower filled alpine meadows and inspired views on this abandoned lookout peak."
Lower Gray Wolf River,Olympic Peninsula -- Hood Canal,"8.4 miles, roundtrip",800,1500.0,3.65,"Visit a quieter trail in the Dungeness network -- one that a lot of folks skip in favor of more well-known trails with more views. But Lower Gray Wolf is beautiful in its own right, and visitors here can discover it for themselves."
Gobblers Knob,Mount Rainier Area -- SW - Longmire/Paradise,"11.0 miles, roundtrip",2565,5485.0,3.36,"A clear, sparkling lake, up-close views of Mount Rainier, and a historic fire lookout await you on the Gobblers Knob Trail. This route is an eastern approach to the lookout via Westside Road."
Green Lake,Mount Rainier Area -- NW - Carbon River/Mowich,"9.6 miles, roundtrip",1500,3270.0,4.07,"The Green Lake Trail is a moderately strenuous but relatively short hike to a pocket lake set among a rare high-elevation rain forest. The trail's wide, ambitious grade rewards accordingly for your efforts, ascending through stands of humbling firs, passing a picturesque waterfall, and ending on the shore of a lovely mountain lake."
Grand Ridge,Olympic Peninsula -- Northern Coast,"15.0 miles, roundtrip",3100,6625.0,4.55,"Grand Ridge is the highest continuous trail in the Olympic Mountains. On a clear day it is among the most beautiful places in Washington; the 360 degree view includes the interior of the Olympics, the Strait of Juan de Fuca, Canada, and the Cascades."
Guillemot Cove,Olympic Peninsula -- Kitsap Peninsula,"2.5 miles, roundtrip",360,360.0,4.18,Enjoy breath taking views of the Olympics from a secluded cove with many different types of seabirds and wildlife. Try to keep your feet dry while exploring a series of trails amid the historic 184-acre Guillemot Cove Nature Reserve.
Grace Lakes,Central Cascades -- Stevens Pass - West,"4.0 miles, roundtrip",500,4700.0,4.33,Take a short hike up to these lakes in the Stevens Pass Ski Area.
Greider Lakes,Central Cascades -- Stevens Pass - West,"8.6 miles, roundtrip",2035,2930.0,3.41,"For those searching for alpine vistas with fewer visitors than on the most popular trails of the I-90 corridor, Greider Lakes is just right. This trailhead is located in the Sultan Basin Watershed."
Tatie Peak and Grasshopper Pass,North Cascades -- Pasayten,"9.4 miles, roundtrip",1200,7386.0,3.33,"Hike on the Pacific Crest Trail in a section where its name describes its location. From the trail high on the ridge, the views abound. In the three passes are flowers in the summer and golden larch in the fall. A side trip up Tatie Peak provides 360 degree views of the North Cascades."
