Entity,Year,Disasters
Wet mass movement,2020,19
Wildfire,2020,10
All disasters,2021,441
All disasters excluding earthquakes,2021,413
All disasters excluding extreme temperature,2021,438
Drought,2021,25
Earthquake,2021,28
Extreme temperature,2021,3
Extreme weather,2021,121
Flood,2021,222
Glacial lake outburst flood,2021,2
Volcanic activity,2021,9
Wet mass movement,2021,12
Wildfire,2021,19
All disasters,2022,440
All disasters excluding earthquakes,2022,409
All disasters excluding extreme temperature,2022,400
Drought,2022,40
Earthquake,2022,31
Extreme temperature,2022,40
Extreme weather,2022,109
Flood,2022,181
Glacial lake outburst flood,2022,1
Volcanic activity,2022,5
Wet mass movement,2022,17
Wildfire,2022,16
All disasters,2023,410
All disasters excluding earthquakes,2023,378
All disasters excluding extreme temperature,2023,400
Drought,2023,17
Earthquake,2023,32
Extreme temperature,2023,10
Extreme weather,2023,140
Flood,2023,166
Glacial lake outburst flood,2023,1
Volcanic activity,2023,4
Wet mass movement,2023,24
Wildfire,2023,16
All disasters,2024,83
All disasters excluding earthquakes,2024,77
All disasters excluding extreme temperature,2024,81
Drought,2024,7
Earthquake,2024,6
Extreme temperature,2024,2
Extreme weather,2024,24
Flood,2024,31
Volcanic activity,2024,1
Wet mass movement,2024,7
Wildfire,2024,5
